,Id,SalePrice,OverallQual,MasVnrArea,GarageArea,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,BedroomAbvGr,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,HalfBath,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,1,208500,7,196,548,2,8,2003,2003,3,60,RL,65,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,1,1,Gd,Typ,0,,Attchd,2003,RFn,2,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008,WD,Normal
1,2,181500,6,0,460,2,6,1976,1976,3,20,RL,80,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,8,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,0,1,TA,Typ,1,TA,Attchd,1976,RFn,2,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007,WD,Normal
2,3,223500,7,162,608,2,6,2001,2002,3,60,RL,68,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,1,1,Gd,Typ,1,TA,Attchd,2001,RFn,2,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008,WD,Normal
3,4,140000,7,0,642,1,7,1915,1970,3,70,RL,60,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,5,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,0,1,Gd,Typ,1,Gd,Detchd,1998,Unf,3,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006,WD,Abnorml
4,5,250000,8,350,836,2,9,2000,2000,4,60,RL,84,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,1,1,Gd,Typ,1,TA,Attchd,2000,RFn,3,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008,WD,Normal
5,6,143000,5,0,480,1,5,1993,1995,1,50,RL,85,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,TA,Typ,0,,Attchd,1993,Unf,2,TA,TA,Y,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal
6,7,307000,8,186,636,2,7,2004,2005,3,20,RL,75,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,0,1,Gd,Typ,1,Gd,Attchd,2004,RFn,2,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,WD,Normal
7,8,200000,7,240,484,2,7,1973,1973,3,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,1,1,TA,Typ,2,TA,Attchd,1973,RFn,2,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD,Normal
8,9,129900,7,0,468,2,8,1931,1950,2,50,RM,51,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,Gable,CompShg,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,0,2,TA,Min1,2,TA,Detchd,1931,Unf,2,Fa,TA,Y,90,0,205,0,0,0,,,,0,4,2008,WD,Abnorml
9,10,118000,5,0,205,1,5,1939,1950,2,190,RL,50,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,0,2,TA,Typ,2,TA,Attchd,1939,RFn,1,Gd,TA,Y,0,4,0,0,0,0,,,,0,1,2008,WD,Normal
10,11,129500,5,0,384,1,5,1965,1965,3,20,RL,70,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,0,1,TA,Typ,0,,Detchd,1965,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008,WD,Normal
11,12,345000,9,286,736,3,11,2005,2006,4,60,RL,85,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,0,1,Ex,Typ,2,Gd,BuiltIn,2005,Fin,3,TA,TA,Y,147,21,0,0,0,0,,,,0,7,2006,New,Partial
12,13,144000,5,0,352,1,4,1962,1962,2,20,RL,,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,0,1,TA,Typ,0,,Detchd,1962,Unf,1,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008,WD,Normal
13,14,279500,7,306,840,2,7,2006,2007,3,20,RL,91,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,0,1,Gd,Typ,1,Gd,Attchd,2006,RFn,3,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007,New,Partial
14,15,157000,6,212,352,1,5,1960,1960,2,20,RL,,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,TA,Typ,1,Fa,Attchd,1960,RFn,1,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,2008,WD,Normal
15,16,132000,7,0,576,1,5,1929,2001,2,45,RM,51,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,0,1,TA,Typ,0,,Detchd,1991,Unf,2,TA,TA,Y,48,112,0,0,0,0,,GdPrv,,0,7,2007,WD,Normal
16,17,149000,6,180,480,1,5,1970,1970,2,20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,0,1,TA,Typ,1,TA,Attchd,1970,Fin,2,TA,TA,Y,0,0,0,0,0,0,,,Shed,700,3,2010,WD,Normal
17,18,90000,4,0,516,2,6,1967,1967,2,90,RL,72,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,0,2,TA,Typ,0,,CarPort,1967,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,Shed,500,10,2006,WD,Normal
18,19,159000,5,0,576,1,6,2004,2004,3,20,RL,66,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,Gd,Typ,0,,Detchd,2004,Unf,2,TA,TA,Y,0,102,0,0,0,0,,,,0,6,2008,WD,Normal
19,20,139000,5,0,294,1,6,1958,1965,3,20,RL,70,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,0,1,TA,Min1,0,,Attchd,1958,Unf,1,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2009,COD,Abnorml
20,21,325300,8,380,853,3,9,2005,2006,4,60,RL,101,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,1,1,Gd,Typ,1,Gd,BuiltIn,2005,RFn,3,TA,TA,Y,240,154,0,0,0,0,,,,0,11,2006,New,Partial
21,22,139400,7,0,280,1,6,1930,1950,3,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,0,1,Gd,Typ,1,Gd,Attchd,1930,Unf,1,TA,TA,N,0,0,205,0,0,0,,GdPrv,,0,6,2007,WD,Normal
