NAICS  Code,Kind of Business,Jan. 2010,Feb. 2010,Mar. 2010,Apr. 2010,May 2010,Jun. 2010,Jul. 2010,Aug. 2010,Sep. 2010,Oct. 2010,Nov. 2010,Dec. 2010
441.0,Motor vehicle and parts dealers,49870.0,51822.0,67448.0,64368.0,65243.0,64700.0,67006.0,66074.0,61654.0,61386.0,58830.0,64512.0
"4411,4412",Automobile and other motor vehicle dealers,44566.0,46213.0,60806.0,57767.0,58792.0,57777.0,60194.0,59027.0,54920.0,54589.0,52325.0,57998.0
4411.0,Automobile dealers,42162.0,43455.0,56506.0,53010.0,54203.0,53074.0,55880.0,55146.0,51581.0,51489.0,49417.0,55257.0
44111.0,New car dealers,37035.0,37155.0,49926.0,47053.0,48346.0,46879.0,49697.0,48858.0,45610.0,45366.0,43813.0,49735.0
44112,Used car dealers,5127.0,6300.0,6580.0,5957.0,5857.0,6195.0,6183.0,6288.0,5971.0,6123.0,5604.0,5522.0
4413.0,"Automotive parts, acc., and tire stores",5304.0,5609.0,6642.0,6601.0,6451.0,6923.0,6812.0,7047.0,6734.0,6797.0,6505.0,6514.0
"442,443","Furniture, home furn, electronics, and appliance stores",13963.0,14322.0,15044.0,13891.0,14545.0,14876.0,15203.0,15467.0,14755.0,14116.0,17115.0,21497.0
442.0,Furniture and home furnishings stores,6324.0,6468.0,7271.0,6729.0,6932.0,6902.0,7243.0,7330.0,7101.0,6793.0,7630.0,8482.0
4421.0,Furniture stores,3683.0,3834.0,4091.0,3675.0,3965.0,3749.0,3964.0,3997.0,3933.0,3714.0,4009.0,4050.0
4422.0,Home furnishings stores,2641.0,2634.0,3180.0,3054.0,2967.0,3153.0,3279.0,3333.0,3168.0,3079.0,3621.0,4432.0
44221.0,Floor covering stores,993.0,1085.0,1264.0,1245.0,1121.0,1351.0,1318.0,1381.0,1295.0,1245.0,1165.0,1110.0
442299.0,All other home furnishings stores,1563.0,1467.0,1812.0,1715.0,1749.0,1709.0,1867.0,1861.0,1780.0,1739.0,2362.0,3244.0
443.0,Electronics and appliance stores,7639.0,7854.0,7773.0,7162.0,7613.0,7974.0,7960.0,8137.0,7654.0,7323.0,9485.0,13015.0
443141.0,Household appliance stores,1112.0,1130.0,1223.0,1245.0,1365.0,1344.0,1355.0,1291.0,1226.0,1192.0,1460.0,1513.0
443142.0,Electronics stores,6527.0,6724.0,6550.0,5917.0,6248.0,6630.0,6605.0,6846.0,6428.0,6131.0,8025.0,11502.0
444.0,Building mat. and garden equip. and supplies dealers,15348.0,15469.0,21691.0,26688.0,26238.0,25451.0,23100.0,21698.0,21261.0,21883.0,21462.0,20277.0
4441.0,Building mat. and supplies dealers,13738.0,13750.0,19009.0,21771.0,21871.0,21652.0,20304.0,19349.0,18915.0,18985.0,18714.0,17654.0
44412.0,Paint and wallpaper stores,466.0,484.0,670.0,703.0,727.0,791.0,774.0,784.0,736.0,682.0,638.0,517.0
44413.0,Hardware stores,1272.0,1227.0,1512.0,1730.0,1825.0,1714.0,1614.0,1502.0,1455.0,1524.0,1631.0,1700.0
445.0,Food and beverage stores,47072.0,44275.0,48123.0,47050.0,49655.0,47813.0,49732.0,48357.0,47478.0,48583.0,48842.0,53550.0
4451.0,Grocery stores,42985.0,40061.0,43434.0,42236.0,44607.0,42877.0,44559.0,43431.0,42642.0,43536.0,43724.0,46658.0
44511.0,Supermarkets and other grocery (except convenience) stores,41185.0,38400.0,41542.0,40354.0,42658.0,40944.0,42598.0,41357.0,40710.0,41591.0,41897.0,44770.0
4453.0,"Beer, wine, and liquor stores",2878.0,2916.0,3214.0,3310.0,3467.0,3438.0,3657.0,3454.0,3365.0,3497.0,3524.0,4681.0
446.0,Health and personal care stores,20721.0,20118.0,22474.0,21471.0,21335.0,21466.0,21342.0,21601.0,21297.0,21796.0,21869.0,24945.0
44611.0,Pharmacies and drug stores,17874.0,17171.0,19214.0,18340.0,18295.0,18372.0,18170.0,18328.0,18124.0,18611.0,18724.0,21007.0
447.0,Gasoline stations,34145.0,31888.0,37234.0,38297.0,39168.0,38208.0,39054.0,38541.0,37170.0,38480.0,37073.0,39091.0
448.0,Clothing and clothing access. stores,13216.0,14816.0,17390.0,17042.0,17727.0,16138.0,16842.0,17923.0,16232.0,17412.0,20003.0,28545.0
4481.0,Clothing stores,9902.0,10568.0,13125.0,12899.0,13124.0,12164.0,12677.0,13164.0,12322.0,13169.0,15104.0,20058.0
44811.0,Men's clothing stores,476.0,471.0,568.0,630.0,627.0,598.0,544.0,517.0,563.0,634.0,669.0,988.0
44812.0,Women's clothing stores,2304.0,2480.0,3293.0,3334.0,3308.0,2995.0,2847.0,2960.0,3061.0,3214.0,3454.0,4440.0
44814.0,Family clothing stores,4971.0,5593.0,6875.0,6725.0,6875.0,6334.0,6947.0,7280.0,6383.0,6943.0,8336.0,11246.0
44819.0,Other clothing stores,945.0,869.0,941.0,938.0,991.0,984.0,937.0,897.0,839.0,930.0,1035.0,1398.0
4482.0,Shoe stores,1706.0,2041.0,2345.0,2223.0,2216.0,2026.0,2190.0,2804.0,2085.0,2173.0,2318.0,3106.0
44831.0,Jewelry stores,1496.0,2093.0,1783.0,1794.0,2245.0,1802.0,1816.0,1811.0,1684.0,1906.0,2392.0,5087.0
451.0,"Sporting goods, hobby, musical instrument, and book stores",6247.0,4995.0,6033.0,5659.0,5885.0,6237.0,6092.0,7381.0,6113.0,5658.0,6985.0,10942.0
45111.0,Sporting goods stores,2373.0,2303.0,3118.0,3001.0,3078.0,3413.0,3266.0,3415.0,2828.0,2611.0,3107.0,4894.0
45112.0,"Hobby, toy, and game stores",958.0,1005.0,1161.0,1065.0,1036.0,1030.0,1077.0,1046.0,1080.0,1262.0,2003.0,3082.0
451211.0,Book stores,2150.0,948.0,948.0,858.0,1015.0,1020.0,1003.0,2134.0,1400.0,905.0,978.0,1879.0
452.0,General merchandise stores,43853.0,44756.0,48642.0,47749.0,50474.0,48289.0,48616.0,49312.0,45676.0,49036.0,55587.0,71767.0
4521.0,Department stores,12298.0,12819.0,14632.0,14183.0,14922.0,14273.0,13955.0,14709.0,13520.0,14387.0,18416.0,26641.0
452111.0,Department stores(excl. discount department stores),3910.0,4398.0,4870.0,5153.0,5133.0,4858.0,4653.0,4927.0,4824.0,5032.0,6607.0,10536.0
452112.0,Discount dept. stores,8388.0,8421.0,9762.0,9030.0,9789.0,9415.0,9302.0,9782.0,8696.0,9355.0,11809.0,16105.0
4529.0,Other general merchandise stores,31555.0,31937.0,34010.0,33566.0,35552.0,34016.0,34661.0,34603.0,32156.0,34649.0,37171.0,45126.0
45291.0,Warehouse clubs and superstores,28171.0,28258.0,29852.0,29350.0,31271.0,29834.0,30555.0,30574.0,28166.0,30371.0,32462.0,39129.0
45299.0,All other gen. merchandise stores,3384.0,3679.0,4158.0,4216.0,4281.0,4182.0,4106.0,4029.0,3990.0,4278.0,4709.0,5997.0
453.0,Miscellaneous store retailers,7244.0,7362.0,8458.0,8245.0,9048.0,9232.0,8740.0,8785.0,8797.0,9159.0,8748.0,10416.0
4532.0,"Office supplies, stationery, and gift stores",2634.0,2530.0,2697.0,2562.0,2673.0,2633.0,2670.0,3099.0,2904.0,3022.0,2957.0,3929.0
45321.0,Office supplies and stationery stores,1738.0,1550.0,1628.0,1480.0,1411.0,1393.0,1418.0,1884.0,1687.0,1448.0,1462.0,1675.0
45322.0,"Gift, novelty, and souvenir stores",896.0,980.0,1069.0,1082.0,1262.0,1240.0,1252.0,1215.0,1217.0,1574.0,1495.0,2254.0
45330.0,Used merchandise stores,822.0,866.0,1013.0,964.0,997.0,883.0,977.0,973.0,974.0,1100.0,1014.0,1217.0
454.0,Nonstore retailers,27365.0,25743.0,28768.0,26480.0,25502.0,26773.0,25188.0,27180.0,27205.0,27550.0,31867.0,41336.0
4541.0,Electronic shopping and mail-order houses,19565.0,18419.0,21629.0,20385.0,20021.0,21027.0,19875.0,21602.0,21327.0,21388.0,25275.0,32975.0
45431.0,Fuel dealers,4743.0,4147.0,3320.0,2458.0,2074.0,2020.0,1878.0,1982.0,2236.0,2659.0,3223.0,4784.0
722.0,Food services and drinking places,35513.0,35359.0,39374.0,39393.0,40785.0,39421.0,41024.0,40308.0,38361.0,40150.0,37447.0,39785.0
7224.0,Drinking places,1545.0,1572.0,1736.0,1658.0,1690.0,1680.0,1787.0,1745.0,1673.0,1752.0,1647.0,1715.0
7225.0,Restaurants and other eating places,30952.0,30536.0,34162.0,33799.0,35152.0,34109.0,35598.0,34878.0,32260.0,34116.0,32037.0,34357.0
722511.0,Full service restaurants,15498.0,15211.0,17098.0,16980.0,17621.0,16714.0,17545.0,16981.0,15709.0,16566.0,15557.0,17219.0
"722513, 722514, 722515",Limited service eating places,15454.0,15325.0,17064.0,16819.0,17531.0,17395.0,18053.0,17897.0,16551.0,17550.0,16480.0,17138.0
