NAICS  Code,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May. 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017
441,Motor vehicle and parts dealers,85187,89414,106286,97312,105632,102593,102228,104798,99971,97396,94754,100125
"44,114,412",Automobile and other motor vehicle dealers,78171,82482,97923,89632,97493,94441,94321,96524,92143,89438,86977,92708
4411,Automobile dealers,74592,77677,91087,82252,89606,86383,87356,89966,86444,84382,82631,88211
44111,New car dealers,65936,67908,79946,72863,79723,76450,77677,80177,77024,75083,73878,79822
44112,Used car dealers,8656,9769,11141,9389,9883,9933,9679,9789,9420,9299,8753,8389
4413,"Automotive parts, acc., and tire stores",7016,6932,8363,7680,8139,8152,7907,8274,7828,7958,7777,7417
"442,443","Furniture, home furn, electronics, and appliance stores",15441,15096,17310,15399,16729,16749,16467,17501,16970,16815,20405,22851
442,Furniture and home furnishings stores,8407,8377,9815,8726,9574,9522,9396,10033,9676,9647,10702,11434
4421,Furniture stores,4646,4757,5476,4749,5140,5084,5104,5229,5189,5050,5464,5400
4422,Home furnishings stores,3761,3620,4339,3977,4434,4438,4292,4804,4487,4597,5238,6034
44221,Floor covering stores,1459,1510,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
442299,All other home furnishings stores,2181,1980,2317,2117,2401,2308,2319,2564,2299,2338,3046,4006
443,Electronics and appliance stores,7034,6719,7495,6673,7155,7227,7071,7468,7294,7168,9703,11417
443141,Household appliance stores,1302,1290,1493,1350,1453,1448,1396,1387,1385,1360,1510,1432
443142,Electronics stores,5732,5429,6002,5323,5702,5779,5675,6081,5909,5808,8193,9985
444,Building mat. and garden equip. and supplies dealers,22389,22494,29230,31259,35632,33437,30060,30304,28978,29672,29182,26728
4441,Building mat. and supplies dealers,20256,19963,25217,25962,29761,28839,26497,27031,26017,26536,25953,23439
44412,Paint and wallpaper stores,747,772,978,935,1082,1115,1044,1124,1015,1039,897,788
44413,Hardware stores,1781,1696,2127,2208,2441,2392,2194,2248,2161,2264,2153,2226
445,Food and beverage stores,57800,54492,60237,59605,62115,60545,61611,61414,60283,60762,62093,67886
4451,Grocery stores,52552,49212,54366,53635,55709,54191,55159,55083,54142,54561,55443,59125
44511,Supermarkets and other grocery (except convenience) stores,50497,47201,52090,51267,53223,51771,52679,52628,51676,52095,53089,56756
4453,"Beer, wine, and liquor stores",3578,3606,4074,4077,4456,4482,4598,4452,4346,4343,4638,5972
446,Health and personal care stores,25715,24718,27499,25819,27376,26848,25966,27609,26551,27761,27402,30602
44611,Pharmacies and drug stores,21723,20599,22640,21612,23007,22345,21610,22820,21944,23386,22676,24692
447,Gasoline stations,35924,34210,39103,39460,41292,40493,40211,41634,41677,41964,40241,39943
448,Clothing and clothing access. stores,15907,18020,21332,21143,21945,20618,20795,22775,19909,20469,24560,33923
4481,Clothing stores,11843,12703,15785,15683,16005,15397,15368,16356,14713,15361,18393,23501
44811,Men's clothing stores,622,644,797,834,873,803,688,719,759,745,786,1026
