NAICS  Code,Kind of Business,Jan. 1999,Feb. 1999,Mar. 1999,Apr. 1999,May 1999,Jun. 1999,Jul. 1999,Aug. 1999,Sep. 1999,Oct. 1999,Nov. 1999,Dec. 1999
441.0,Motor vehicle and parts dealers,52535.0,57052.0,67732.0,64869.0,67822.0,69366.0,68335.0,69464.0,64572.0,62383.0,59856.0,60218.0
4411.0,Automobile dealers,46157.0,49827.0,58761.0,55504.0,58227.0,59612.0,58918.0,60447.0,56079.0,53895.0,51987.0,52406.0
44111.0,New car dealers,42042.0,45230.0,53840.0,50680.0,53277.0,54565.0,54023.0,55555.0,51570.0,49379.0,47695.0,48311.0
44112,Used car dealers,4115.0,4597.0,4921.0,4824.0,4950.0,5047.0,4895.0,4892.0,4509.0,4516.0,4292.0,4095.0
4413.0,"Automotive parts, acc., and tire stores",4488.0,4527.0,5240.0,5341.0,5248.0,5542.0,5522.0,5510.0,5438.0,5397.0,5287.0,5109.0
442.0,Furniture and home furnishings stores,5922.0,5996.0,6790.0,6481.0,6684.0,6853.0,6961.0,7240.0,7139.0,7339.0,8006.0,8883.0
4421.0,Furniture stores,3590.0,3552.0,3941.0,3607.0,3796.0,3818.0,3893.0,3962.0,3976.0,4036.0,4303.0,4548.0
4422.0,Home furnishings stores,2332.0,2444.0,2849.0,2874.0,2888.0,3035.0,3068.0,3278.0,3163.0,3303.0,3703.0,4335.0
44221.0,Floor covering stores,1182.0,1288.0,1534.0,1592.0,1463.0,1599.0,1594.0,1657.0,1649.0,1674.0,1642.0,1535.0
442299.0,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443.0,Electronics and appliance stores,6636.0,6265.0,6824.0,6303.0,6572.0,6805.0,7053.0,7135.0,6869.0,6778.0,7872.0,12251.0
443141.0,Household appliance stores,842.0,814.0,943.0,926.0,950.0,1105.0,1200.0,1019.0,989.0,997.0,1051.0,1246.0
443142.0,Electronics stores,5794.0,5451.0,5881.0,5377.0,5622.0,5700.0,5853.0,6116.0,5880.0,5781.0,6821.0,11005.0
444.0,Building mat. and garden equip. and supplies dealers,13949.0,14508.0,17711.0,19541.0,20560.0,20511.0,19363.0,19000.0,18459.0,18709.0,18190.0,17789.0
4441.0,Building mat. and supplies dealers,12020.0,12508.0,15156.0,16239.0,16717.0,17403.0,16977.0,16878.0,16299.0,16470.0,16032.0,15217.0
44412.0,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413.0,Hardware stores,1100.0,1003.0,1206.0,1411.0,1492.0,1444.0,1386.0,1297.0,1283.0,1293.0,1291.0,1380.0
445.0,Food and beverage stores,34300.0,32175.0,35502.0,35121.0,37055.0,35791.0,37981.0,36105.0,35734.0,36164.0,35833.0,41938.0
4451.0,Grocery stores,31516.0,29413.0,32451.0,31948.0,33727.0,32568.0,34568.0,32944.0,32624.0,32935.0,32510.0,37046.0
44511.0,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453.0,"Beer, wine, and liquor stores",1866.0,1808.0,1986.0,2099.0,2210.0,2145.0,2339.0,2140.0,2126.0,2219.0,2273.0,3265.0
446.0,Health and personal care stores,11015.0,10820.0,11954.0,11596.0,11823.0,11766.0,11679.0,11647.0,11429.0,11839.0,12013.0,15118.0
44611.0,Pharmacies and drug stores,9406.0,9246.0,10168.0,9881.0,10054.0,9972.0,9874.0,9834.0,9721.0,10087.0,10155.0,12884.0
447.0,Gasoline stations,15115.0,14270.0,16298.0,17201.0,17908.0,17923.0,19120.0,19278.0,18559.0,18967.0,18232.0,19653.0
448.0,Clothing and clothing access. stores,9237.0,10171.0,12081.0,12386.0,13167.0,12280.0,12461.0,13734.0,12357.0,12948.0,14643.0,24286.0
4481.0,Clothing stores,6559.0,6871.0,8673.0,8903.0,9171.0,8624.0,8817.0,9712.0,8917.0,9427.0,10528.0,15479.0
44811.0,Men's clothing stores,684.0,610.0,708.0,812.0,803.0,791.0,723.0,789.0,714.0,802.0,896.0,1335.0
44812.0,Women's clothing stores,1745.0,1883.0,2507.0,2616.0,2687.0,2405.0,2303.0,2407.0,2353.0,2440.0,2564.0,3639.0
44814.0,Family clothing stores,3062.0,3253.0,4101.0,4152.0,4375.0,4182.0,4476.0,4926.0,4389.0,4724.0,5528.0,8150.0
44819.0,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482.0,Shoe stores,1420.0,1543.0,1897.0,1913.0,2006.0,1908.0,1934.0,2283.0,1788.0,1741.0,1782.0,2475.0
44831.0,Jewelry stores,1155.0,1650.0,1392.0,1457.0,1863.0,1623.0,1585.0,1606.0,1520.0,1641.0,2165.0,6034.0
451.0,"Sporting goods, hobby, musical instrument, and book stores",4661.0,4133.0,4804.0,4654.0,4779.0,5088.0,4884.0,5396.0,5062.0,4852.0,5896.0,9863.0
45111.0,Sporting goods stores,1485.0,1469.0,1827.0,1888.0,1993.0,2215.0,2062.0,2143.0,1847.0,1711.0,1832.0,3227.0
45112.0,"Hobby, toy, and game stores",933.0,966.0,1135.0,1076.0,1061.0,1101.0,1083.0,1101.0,1111.0,1277.0,2096.0,3711.0
451211.0,Book stores,1514.0,990.0,976.0,933.0,976.0,1031.0,1023.0,1386.0,1240.0,1019.0,1088.0,1996.0
452.0,General merchandise stores,24585.0,25109.0,29278.0,28895.0,31201.0,30329.0,29811.0,30955.0,29382.0,31357.0,36231.0,53046.0
4521.0,Department stores,14480.0,15239.0,17851.0,17704.0,18935.0,17955.0,17549.0,18510.0,17383.0,18513.0,22213.0,33972.0
452111.0,Department stores(excl. discount department stores),5647.0,6197.0,7401.0,7290.0,7746.0,7178.0,7012.0,7697.0,7300.0,7749.0,9560.0,15875.0
452112.0,Discount dept. stores,8833.0,9042.0,10450.0,10414.0,11189.0,10777.0,10537.0,10813.0,10083.0,10764.0,12653.0,18097.0
4529.0,Other general merchandise stores,10105.0,9870.0,11427.0,11191.0,12266.0,12374.0,12262.0,12445.0,11999.0,12844.0,14018.0,19074.0
45291.0,Warehouse clubs and superstores,8081.0,7758.0,8990.0,8799.0,9708.0,9839.0,9768.0,9944.0,9585.0,10214.0,11120.0,15003.0
45299.0,All other gen. merchandise stores,2024.0,2112.0,2437.0,2392.0,2558.0,2535.0,2494.0,2501.0,2414.0,2630.0,2898.0,4071.0
453.0,Miscellaneous store retailers,7392.0,7934.0,8380.0,8227.0,8509.0,8544.0,8240.0,8606.0,8420.0,8426.0,9190.0,12350.0
4532.0,"Office supplies, stationery, and gift stores",3112.0,3055.0,3169.0,2943.0,2899.0,2938.0,2850.0,3308.0,3228.0,3259.0,3694.0,5551.0
45321.0,Office supplies and stationery stores,2018.0,1812.0,1815.0,1649.0,1571.0,1611.0,1517.0,1966.0,1965.0,1772.0,1796.0,2108.0
45322.0,"Gift, novelty, and souvenir stores",1094.0,1243.0,1354.0,1294.0,1328.0,1327.0,1333.0,1342.0,1263.0,1487.0,1898.0,3443.0
45330.0,Used merchandise stores,639.0,783.0,782.0,731.0,724.0,759.0,749.0,784.0,722.0,848.0,804.0,1052.0
