Year	Men_Sales	Women_Sales	Percent_Difference_Men_Women	Percent_Difference_Men_Year	Percent_Difference_Women_Year
1992	10179.00	31815.00	-68.005658	NULL	NULL
1993	9962.00	32350.00	-69.205564	-2.131840	1.681597
1994	10032.00	30585.00	-67.199608	0.702670	-5.455951
1995	9315.00	28696.00	-67.539030	-7.147129	-6.176230
1996	9546.00	28238.00	-66.194490	2.479871	-1.596041
1997	10069.00	27822.00	-63.809216	5.478735	-1.473192
1998	10196.00	28332.00	-64.012424	1.261297	1.833082
1999	9667.00	29549.00	-67.284849	-5.188309	4.295496
2000	9507.00	31447.00	-69.768181	-1.655115	6.423229
2001	8625.00	31453.00	-72.578132	-9.277375	0.019080
2002	8112.00	31246.00	-74.038277	-5.947826	-0.658125
2003	8249.00	32565.00	-74.669123	1.688856	4.221340
2004	8566.00	34954.00	-75.493506	3.842890	7.336097
2005	8737.00	37075.00	-76.434255	1.996264	6.067975
2006	8844.00	38809.00	-77.211472	1.224677	4.677006
2007	8772.00	40294.00	-78.230009	-0.814111	3.826432
2008	8351.00	38402.00	-78.253737	-4.799362	-4.695488
2009	7353.00	36055.00	-79.606157	-11.950665	-6.111661
2010	7285.00	37690.00	-80.671266	-0.924793	4.534739
2011	7860.00	40048.00	-80.373552	7.892931	6.256301
2012	8272.00	41794.00	-80.207685	5.241730	4.359768
2013	8850.00	41508.00	-78.678809	6.987427	-0.684309
2014	9251.00	41019.00	-77.447037	4.531073	-1.178086
2015	9399.00	40239.00	-76.642064	1.599827	-1.901558
2016	9281.00	39751.00	-76.652160	-1.255453	-1.212754
2017	9296.00	39212.00	-76.292972	0.161621	-1.355941
2018	9222.00	39847.00	-76.856476	-0.796041	1.619402
2019	9110.00	38951.00	-76.611640	-1.214487	-2.248601
2020	3849.00	26164.00	-85.288947	-57.749726	-32.828425
2021	702.00	4112.00	-82.928016	-81.761496	-84.283749
